Titles,Prices,Links
Shitet Toke 500 m2 ne Spitalle!,"30,000 €",https://www.century21albania.com/property/3755049/shitet-toke-500-m2-ne-spitalle-eon98836.html
"SHITET POST PARKIMI NE REZIDENCEN ""MEI'S GARDEN"", ISH FUSHA E AVIACIONIT",Çmimi sipas kërkesës,https://www.century21albania.com/property/3753734/shitet-post-parkimi-ne-rezidencen-mei-s-garden-ish-fusha-e-aviacionit-astoria98817.html
"SHITET POST PARKIMI NE REZIDENCEN ""MEI'S GARDEN"", ISH FUSHA E AVIACIONIT",Çmimi sipas kërkesës,https://www.century21albania.com/property/3753719/shitet-post-parkimi-ne-rezidencen-mei-s-garden-ish-fusha-e-aviacionit-astoria98815.html
"SHITET POST PARKIMI NE REZIDENCEN ""MEI'S GARDEN"", ISH FUSHA E AVIACIONIT",Çmimi sipas kërkesës,https://www.century21albania.com/property/3753704/shitet-post-parkimi-ne-rezidencen-mei-s-garden-ish-fusha-e-aviacionit-astoria98814.html
APARTAMENT 2+1+2 BALLKONE NE FRESK!,470 €,https://www.century21albania.com/property/3702272/apartament-2-1-2-ballkone-ne-fresk-gold97656.html
SHES GARAZH ME QEPEN NE RRUGEN THOMA KOXHAJ-YZBERISH!,"30,000 €",https://www.century21albania.com/property/3719299/shes-garazh-me-qepen-ne-rrugen-thoma-koxhaj-yzberish-metropol97967.html
"Shitet POST PARKIMI tek Bulevardi GJergj Fishta, mbrapa ish UET.",Çmimi sipas kërkesës,https://www.century21albania.com/property/3742056/shitet-post-parkimi-tek-bulevardi-gjergj-fishta-mbrapa-ish-uet-el98506.html
SHITET BIZNES BUTIK NE ASTIR!,Çmimi sipas kërkesës,https://www.century21albania.com/property/3734891/shitet-biznes-butik-ne-astir-sol98349.html
SHITET AKTIVITET BIZNESI KANCELARI + FOTOKOPJE PRANE FAKULTETIT TE INXHINIERISE SE NDERTIMIT NE TIRANE!,"25,000 €",https://www.century21albania.com/property/3732351/shitet-aktivitet-biznesi-kancelari-fotokopje-prane-fakultetit-te-inxhinierise-se-ndertimit-ne-tirane-atlantic98280.html
"Apartament 2+1 për Qira te Drejtoria e Policisë, Durrës - 400€ | 82 m²",400 €,https://www.century21albania.com/property/3730682/apartament-2-1-p%C3%ABr-qira-te-drejtoria-e-policis%C3%AB-durr%C3%ABs-400-82-m%C2%B2-eon98247.html
"PRANE SHKOLLES SE KUQE, SHESIM NJESI!","28,000 €",https://www.century21albania.com/property/3728995/prane-shkolles-se-kuqe-shesim-njesi-everest98208.html
SHESIM GARSONIERE 1100€/m2 NE KOMPLEKSIN ME TE RI GOLEM! MUNDESI PAGESE ME KESTE!,"34,650 €",https://www.century21albania.com/property/3721024/shesim-garsoniere-1100-m2-ne-kompleksin-me-te-ri-golem-mundesi-pagese-me-keste-eon98020.html
SHESIM GARSONIER 1100€/m2 NE KOMPLEKSIN ME TE RI GOLEM! MUNDESI PAGESE ME KESTE!,"34,430 €",https://www.century21albania.com/property/3721274/shesim-garsonier-1100-m2-ne-kompleksin-me-te-ri-golem-mundesi-pagese-me-keste-eon98032.html
SHITEN APARTAMENTE TE TIPOLOGJIVE TE NDRYSHME NE KUNE SHENGJIN,875 €,https://www.century21albania.com/property/3715942/shiten-apartamente-te-tipologjive-te-ndryshme-ne-kune-shengjin-vision97907.html
SHITET PARKING TEK REZIDENCA LIBURNIA,"15,000 €",https://www.century21albania.com/property/3712513/shitet-parking-tek-rezidenca-liburnia-roy97839.html
SHITET PARKING TEK REZIDENCA LIBURNIA,"15,000 €",https://www.century21albania.com/property/3712554/shitet-parking-tek-rezidenca-liburnia-roy97841.html
SHITET PARKING TEK REZIDENCA LIBURNIA,"15,000 €",https://www.century21albania.com/property/3712276/shitet-parking-tek-rezidenca-liburnia-roy97831.html
SHITET AKTIVITET BIZNESI NE BULEVARDIN KRYESOR !!!,"4,000 €",https://www.century21albania.com/property/3709990/shitet-aktivitet-biznesi-ne-bulevardin-kryesor-eon97786.html
SHITET AKTIVITET BIZNESI NE BULEVARDIN KRYESOR!,"5,000 €",https://www.century21albania.com/property/3690015/shitet-aktivitet-biznesi-ne-bulevardin-kryesor-new97374.html
Butik për shitje në zonen e Ali Demi prane shkolles 1 Maji,"35,000 €",https://www.century21albania.com/property/3675993/butik-p%C3%ABr-shitje-n%C3%AB-zonen-e-ali-demi-prane-shkolles-1-maji-atrium97035.html
SHITET AKTIVITET BIZNESI BAR-PICERI TEK ZOGU I ZI NE TIRANE!,"33,000 €",https://www.century21albania.com/property/3656664/shitet-aktivitet-biznesi-bar-piceri-tek-zogu-i-zi-ne-tirane-atlantic96707.html
Post Parkim për shitje tek Ish Fusha e Aviacionit Tiranë,"23,000 €",https://www.century21albania.com/property/3657883/post-parkim-p%C3%ABr-shitje-tek-ish-fusha-e-aviacionit-tiran%C3%AB-premium96736.html
